"date","home.team","away.team","home.score","away.score"
2011-02-13,"La Coruna","Villarreal",1,0
2011-02-13,"Levante","Almeria",1,0
2011-02-13,"Malaga","Getafe",2,2
2011-02-13,"Sociedad","Osasuna",1,0
2011-02-14,"Mallorca","Ath Bilbao",1,0
2011-02-19,"Real Madrid","Levante",2,0
2011-02-19,"Valencia","Sp Gijon",0,0
2011-02-19,"Zaragoza","Ath Madrid",0,1
2011-02-20,"Almeria","La Coruna",1,1
2011-02-20,"Barcelona","Ath Bilbao",2,1
2011-02-20,"Getafe","Santander",0,1
2011-02-20,"Osasuna","Espanol",4,0
2011-02-20,"Sevilla","Hercules",1,0
2011-02-20,"Villarreal","Malaga",1,1
2011-02-21,"Sociedad","Mallorca",1,0
2011-02-26,"Ath Madrid","Sevilla",2,2
2011-02-26,"Espanol","Sociedad",4,1
2011-02-26,"La Coruna","Real Madrid",0,0
2011-02-26,"Mallorca","Barcelona",0,3
2011-02-26,"Sp Gijon","Zaragoza",0,0
2011-02-27,"Ath Bilbao","Valencia",1,2
2011-02-27,"Hercules","Getafe",0,0
2011-02-27,"Levante","Osasuna",2,1
2011-02-27,"Santander","Villarreal",2,2
2011-02-28,"Malaga","Almeria",3,1
2011-03-01,"Espanol","Mallorca",1,2
2011-03-01,"Sevilla","Sp Gijon",3,0
2011-03-02,"Getafe","Ath Madrid",1,1
2011-03-02,"Osasuna","La Coruna",0,0
2011-03-02,"Sociedad","Levante",1,1
2011-03-02,"Valencia","Barcelona",0,1
2011-03-02,"Villarreal","Hercules",1,0
2011-03-02,"Zaragoza","Ath Bilbao",2,1
2011-03-03,"Almeria","Santander",1,1
2011-03-03,"Real Madrid","Malaga",7,0
2011-03-05,"Ath Madrid","Villarreal",3,1
2011-03-05,"Barcelona","Zaragoza",1,0
2011-03-05,"Mallorca","Valencia",1,2
2011-03-06,"Ath Bilbao","Sevilla",2,0
2011-03-06,"Hercules","Almeria",1,2
2011-03-06,"Levante","Espanol",1,0
2011-03-06,"Malaga","Osasuna",0,1
2011-03-06,"Santander","Real Madrid",1,3
2011-03-06,"Sp Gijon","Getafe",2,0
2011-03-07,"La Coruna","Sociedad",2,1
